method,usage count,total time,extra 1,extra 2,extra 3,avg running time
PyDict_Clear,4205669,24793128045,0,0,0,5895.168650932825
PyDict_Contains,11472628641,2730593362007,228695482,11243933159,0,238.00939152241142
PyDict_Copy,13662633,4758857536,0,0,0,348.31189098031103
PyDict_DelItem,144483576,69649565616,0,0,0,482.0587055237337
PyDict_DelItemString,28835,42261501,0,0,0,1465.632079070574
PyDict_GetItem,42375879,7863599540,41023811,1352068,0,185.56782125982568
PyDict_GetItemString,66,44252,0,0,0,670.4848484848485
PyDict_GetItemWithError,2074453187,413568784089,1616928136,457525051,0,199.36279434055987
PyDict_Items,3398999,1424851459,0,0,0,419.1973751683952
PyDict_Keys,1264963,1133890779,0,0,0,896.3825653398558
PyDict_Merge,15482301,12668364517,0,0,0,818.2481736403394
PyDict_MergeFromSeq2,357080,3949228364,0,0,0,11059.785941525708
PyDict_New,367800291,19447967544,0,0,0,52.876433270684934
PyDict_Next,499927115,38936721218,0,0,0,77.88479570266958
PyDict_SetDefault,142417273,72746444158,0,0,0,510.7979013051317
PyDict_SetItem,611971067,287383957222,0,0,0,469.60383050592816
PyDict_SetItemString,3691319,6259329559,0,0,0,1695.6891449912619
PyDict_Size,9600292,174808942,121015,0,0,18.208710943375472
PyDict_Update,2481435,13318534312,0,0,0,5367.271079838883
PyDict_Values,0,0,0,0,0,
PyObject_GenericGetDict,5498089,2219741031,5498089,0,0,403.7295560330144
_PyDictKeys_DecRef,970889,392537810,0,0,0,404.3076087997701
_PyDictKeys_GetVersionForCurrentState,8757759,165210338,0,0,0,18.8644535662605
_PyDictKeys_StringLookup,1078207819,56534235580,1078207819,0,0,52.43352402362795
_PyDictView_Intersect,44,59980,0,0,0,1363.1818181818182
_PyDictView_New,80359906,6356980028,0,0,0,79.10636465901291
_PyDict_CheckConsistency,1707178619,33914500146,0,0,0,19.86581823867137
_PyDict_ClearFreeList,27658,101360781,0,0,0,3664.7906934702437
_PyDict_ContainsId,44,45682,0,0,0,1038.2272727272727
_PyDict_Contains_KnownHash,3975704,683136297,0,0,0,171.8277560401881
_PyDict_DebugMallocStats,0,0,0,0,0,
_PyDict_DelItemId,0,0,0,0,0,
_PyDict_DelItemIf,13575,6507199,0,0,0,479.3516758747698
_PyDict_DelItem_KnownHash,198506479,79780291903,197821333,685146,0,401.9027102032272
_PyDict_Fini,2113,13266479,0,0,0,6278.504022716516
_PyDict_FromItems,232378619,144816755423,0,0,0,623.1931149526282
_PyDict_FromKeys,492265,1600788404,0,0,0,3251.8834448924868
_PyDict_GetItemHint,1856256,422354376,239085773,842084,0,227.53024151841126
_PyDict_GetItemIdWithError,1136,991988,0,0,0,873.2288732394367
_PyDict_GetItemStringWithError,5050657,2605505186,5050657,0,0,515.8745062276056
_PyDict_GetItemWithError,12810955,2535909160,0,0,0,197.94848705658555
_PyDict_GetItem_KnownHash,1147442183,223251568776,218870568,928571615,0,194.5645472021138
_PyDict_HasOnlyStringKeys,33457,821233,33457,0,0,24.545924619661058
_PyDict_KeysSize,35248552,668045971,5499402,0,0,18.952437280260476
_PyDict_LoadGlobal,106228195,27828419354,106227292,903,0,261.9682971550067
_PyDict_MaybeUntrack,57122936,4156709662,186698,0,0,72.76778739104026
_PyDict_MergeEx,46165433,9714361406,0,0,0,210.42500361688366
_PyDict_NewKeysForClass,1000484,243534928,0,0,0,243.4171141167675
_PyDict_NewPresized,0,0,0,0,0,
_PyDict_Next,582920183,24983892927,0,0,0,42.859886577301786
_PyDict_Pop,36853434,7211644497,0,0,0,195.68446449250834
_PyDict_Pop_KnownHash,18174393,5797123232,0,0,0,318.9720411570279
_PyDict_SetItemId,2418,2522400,0,0,0,1043.1761786600496
_PyDict_SetItem_KnownHash,63923190,28417061661,0,0,0,444.5501180557478
_PyDict_SetItem_Take2,904770167,412244806137,0,0,0,455.6348354233479
_PyDict_SizeOf,303882,23864194,3504,0,0,78.53112063235072
_PyObjectDict_SetItem,36874091,24649462955,0,0,0,668.4764908509881
_PyObject_ClearInstanceAttributes,18622190,11522005357,0,0,0,618.7245086104266
_PyObject_FreeInstanceAttributes,116891980,96865481168,0,0,0,828.6751680312028
_PyObject_GetInstanceAttribute,1063899680,192131846477,381508652,0,0,180.5920709337933
_PyObject_InitializeDict,382479730,24070982942,0,0,0,62.93400944933735
_PyObject_IsInstanceDictEmpty,313954,6618042,0,0,0,21.079654981302994
_PyObject_MakeDictFromInstanceAttributes,43474,20994753,0,0,0,482.9266458112895
_PyObject_StoreInstanceAttribute,132299016,28070035224,0,0,0,212.17115646574425
_PyObject_VisitInstanceAttributes,282085932,17444389057,0,0,0,61.84069135712872
_Py_dict_lookup,16730124560,2637701999975,3247042454,13483082106,0,157.66182675540102
all_contained_in,0,0,0,0,0,
build_indices_generic,26926180,8537274228,0,0,0,317.06221335518075
build_indices_unicode,35582014,41172086349,0,0,0,1157.1038769474937
calculate_log2_keysize,63356262,1109013059,8360,0,0,17.504395366633215
clone_combined_dict_keys,35021765,4612399491,0,0,0,131.7009434276085
delete_index_from_values,249692,10715029,0,0,0,42.912984797270234
delitem_common,208639089,42675004045,0,0,0,204.53983119625298
dict___contains__,19179157,4358322980,0,0,0,227.24267703736928
dict___reversed___impl,0,0,0,0,0,
dict_ass_sub,235523302,129785398437,0,0,0,551.0512010272342
dict_clear,1171180,234775901,0,0,0,200.46098891716048
dict_copy,9687833,2992620455,0,0,0,308.90504150928285
dict_dealloc,395006275,118094518458,0,0,0,298.96871501091977
dict_equal,980738,10850685757,0,0,0,11063.796607248827
dict_fromkeys_impl,492265,1625589264,0,0,0,3302.264560754878
dict_get_impl,121361211,24247885463,121361211,0,0,199.79930377425123
dict_init,2762574,243284577,0,0,0,88.06445619194272
dict_ior,2004,4024460,0,0,0,2008.2135728542914
dict_items,3398999,1293601142,0,0,0,380.582972222116
dict_iter,2337206,382668052,0,0,0,163.72885060195807
dict_keys,1264963,1078276926,0,0,0,852.4177592546185
dict_length,47941241,850794329,0,0,0,17.74660628831031
dict_merge,64129169,33165569047,0,0,0,517.1682334913774
dict_new,6495565,1952916010,0,0,0,300.6537552930346
dict_new_presized,232378619,287702818,3659,0,0,1.2380778371008394
dict_or,0,0,0,0,0,
dict_pop_impl,36850431,8609911536,0,0,0,233.64479878132227
dict_popitem_impl,938680,241551629,0,0,0,257.33117675885285
dict_repr,44,162947,0,0,0,3703.340909090909
dict_richcompare,1525102,10908824687,0,0,0,7152.849243526007
dict_setdefault_impl,4677758,3094259766,0,0,0,661.4835068423805
dict_sizeof,303882,39861879,3504,0,0,131.17551878689756
